time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation
1.33333333,5.67078361,-2.89293189,-4.18885582,0.59119022,1.0153586,0.03630205,-21.77339923,1.96808116,1.66004293,-20.52017066,9.94229218,0.00000597,0,19.47867241,-3.09263164,-4.11141879,-16.99313513,-3.66316362,0.00000514,0,-22.32410615,-1.17801842,2.54719744
1.35,6.14368725,-2.63780468,-4.09625839,0.59463631,1.01753858,0.03372217,-20.58820284,1.35330854,0.60892188,-25.67103838,7.72062754,0.00000713,0,18.61154502,-2.66224574,-4.23888573,-18.80776247,-3.43709123,0.00000529,0,-22.43185676,-1.73715395,2.12285811
1.36666667,6.45460006,-2.30280778,-3.89345998,0.59775605,1.01967615,0.03040435,-18.57513679,0.47125302,-1.0975897,-31.63766911,4.49884947,0.0000082,0,17.65646269,-2.09358062,-4.30967243,-20.1137207,-2.96396132,0.00000561,0,-22.42913089,-2.24793594,1.5762188
1.38333333,6.59905523,-1.8707627,-3.77469424,0.60017493,1.02164975,0.02676795,-15.84374782,-0.85378483,-3.16693996,-38.02472752,0.37843183,0.00000888,0,16.64886468,-1.42273889,-4.44817416,-20.9616944,-2.25755935,0.00000589,0,-22.36449198,-2.77560985,1.18569273
1.4,6.69314015,-1.36902658,-3.66343303,0.60184162,1.02360423,0.02319713,-12.84535395,-2.51242185,-5.2855733,-44.17735,-4.09822002,0.00000823,0,15.55028539,-0.65523193,-4.53236692,-21.47714542,-1.36412076,0.00000604,0,-22.21855835,-3.31456224,0.53714346
1.41666667,6.93512853,-0.82148918,-3.62447102,0.60321252,1.0262578,0.01940797,-10.07155995,-4.38126622,-7.06023232,-49.60389898,-7.95449979,0.00000667,0,13.93236288,0.22562969,-4.63858283,-21.26981702,-0.50770362,0.00000594,0,-22.36692719,-3.84490797,0.00238403
1.43333333,7.0944935,-0.19818651,-3.849022,0.60307508,1.02864447,0.01600767,-7.03999353,-6.24017227,-7.93326319,-54.7300999,-9.96340978,0.00000443,0,12.35036175,1.1503638,-4.93002297,-20.79436573,0.28087706,0.00000572,0,-22.48294079,-4.44428283,-0.30261758
1.45,7.3238958,0.21555804,-4.07662949,0.60265334,1.0314792,0.01265908,-4.22314819,-7.58925303,-8.15293448,-59.09680243,-9.99476766,0.00000204,0,10.61742509,1.89495652,-5.12942809,-20.15658348,1.03239698,0.00000553,0,-22.58526967,-4.74675044,-0.51799279
1.46666667,7.37890673,0.09006834,-3.57196313,0.60314227,1.03489265,0.00912236,-1.79339211,-7.92113788,-8.70125427,-62.26180328,-8.64531509,-0.00000005,0,8.9364466,2.14736082,-4.50096184,-19.37321763,1.74565416,0.00000553,0,-22.56415781,-4.26299211,-1.42940453
1.48333333,7.61780522,0.01171191,-3.37067631,0.60228514,1.03840494,0.00645566,0.60322115,-8.06162957,-8.66122523,-64.95009009,-6.53612188,-0.0000013,0,6.937093,2.36978525,-4.13452176,-18.19078832,2.22443705,0.00000537,0,-22.74749019,-3.93911197,-2.0224174
1.5,7.5697354,-0.23279043,-2.88722475,0.60118574,1.0411826,0.00375506,3.11597617,-7.7767356,-8.75778146,-66.80587513,-4.37573537,-0.00000199,0,5.41201606,2.38713938,-3.44213499,-17.3061225,2.79425371,0.00000531,0,-22.76373519,-3.38935495,-2.76489961
1.51666667,7.62372553,-0.57006558,-2.28111947,0.59990008,1.04390163,0.00132878,5.3367824,-7.28697491,-9.00929126,-67.78387815,-2.55104477,-0.00000196,0,3.64035653,2.26791746,-2.63345873,-16.10425989,3.22789802,0.00000512,0,-22.83934622,-2.67088361,-3.43205534
1.53333333,7.68451545,-0.88722166,-1.76999756,0.59873129,1.04628978,-0.00096688,7.41347386,-6.68413451,-9.07313416,-67.9430355,-1.17753884,-0.00000169,0,1.77073542,2.13324761,-1.93510333,-14.72554228,3.58702349,0.00000488,0,-22.93222392,-2.01968667,-4.26136986
1.55,7.49952879,-0.99188562,-1.42444153,0.59639572,1.04741608,-0.00282286,9.83103361,-6.26006961,-8.99037195,-67.60813513,-0.18814399,-0.00000086,0,0.40993572,2.16306611,-1.49029578,-13.68982692,4.00829237,0.00000484,0,-22.87260295,-1.6943425,-4.68077657
1.56666667,7.55874147,-1.4038343,-0.65242317,0.59511155,1.04888963,-0.00478202,11.44207396,-5.5146556,-9.44501245,-66.10465656,0.40522342,-0.00000007,0,-1.33481746,1.81517325,-0.59064829,-12.51223999,4.46044091,0.00000464,0,-22.97473566,-0.92362608,-5.3848462
